flight_number,departure_airport,arrival_airport,airline_code,departure_time,departure_timestamp,arrival_time,arrival_timestamp
2038,LAX,DEN,AV,2017-11-10 13:30:00,1510320600,2017-11-10 16:48:00,1510332480
7200,LAX,DEN,NH,2017-11-10 13:30:00,1510320600,2017-11-10 16:48:00,1510332480
750,LAX,DEN,UA,2017-11-10 18:05:00,1510337100,2017-11-10 21:26:00,1510349160
5704,LAX,DEN,AC,2017-11-10 18:05:00,1510337100,2017-11-10 21:26:00,1510349160
7270,LAX,DEN,NH,2017-11-10 18:05:00,1510337100,2017-11-10 21:26:00,1510349160
6254,LAX,DEN,OZ,2017-11-10 18:05:00,1510337100,2017-11-10 21:26:00,1510349160
2062,LAX,DEN,AV,2017-11-10 18:05:00,1510337100,2017-11-10 21:26:00,1510349160
9472,LAX,DEN,NZ,2017-11-10 18:05:00,1510337100,2017-11-10 21:26:00,1510349160
358,CAN,ICN,OZ,2017-11-06 01:15:00,1509930900,2017-11-06 05:30:00,1509946200
370,CAN,ICN,OZ,2017-11-06 12:40:00,1509972000,2017-11-06 16:50:00,1509987000
866,CAN,ICN,KE,2017-11-06 13:15:00,1509974100,2017-11-06 17:25:00,1509989100
4501,CAN,ICN,CZ,2017-11-06 13:15:00,1509974100,2017-11-06 17:25:00,1509989100
337,CAN,ICN,CZ,2017-11-06 09:25:00,1509960300,2017-11-06 13:50:00,1509976200
5816,CAN,ICN,KE,2017-11-06 09:25:00,1509960300,2017-11-06 13:50:00,1509976200
3061,CAN,ICN,CZ,2017-11-06 10:45:00,1509965100,2017-11-06 15:15:00,1509981300
5826,CAN,ICN,KE,2017-11-06 10:45:00,1509965100,2017-11-06 15:15:00,1509981300
339,CAN,ICN,CZ,2017-11-06 16:20:00,1509985200,2017-11-06 20:35:00,1510000500
5830,CAN,ICN,KE,2017-11-06 16:20:00,1509985200,2017-11-06 20:35:00,1510000500
356,CAN,ICN,OZ,2017-11-07 01:15:00,1510017300,2017-11-07 05:30:00,1510032600
370,CAN,ICN,OZ,2017-11-07 12:40:00,1510058400,2017-11-07 16:50:00,1510073400
866,CAN,ICN,KE,2017-11-07 13:15:00,1510060500,2017-11-07 17:25:00,1510075500
4501,CAN,ICN,CZ,2017-11-07 13:15:00,1510060500,2017-11-07 17:25:00,1510075500
337,CAN,ICN,CZ,2017-11-07 09:25:00,1510046700,2017-11-07 13:50:00,1510062600
5816,CAN,ICN,KE,2017-11-07 09:25:00,1510046700,2017-11-07 13:50:00,1510062600
3061,CAN,ICN,CZ,2017-11-07 10:45:00,1510051500,2017-11-07 15:15:00,1510067700
5826,CAN,ICN,KE,2017-11-07 10:45:00,1510051500,2017-11-07 15:15:00,1510067700
339,CAN,ICN,CZ,2017-11-07 16:20:00,1510071600,2017-11-07 20:35:00,1510086900
5830,CAN,ICN,KE,2017-11-07 16:20:00,1510071600,2017-11-07 20:35:00,1510086900
358,CAN,ICN,OZ,2017-11-08 01:15:00,1510103700,2017-11-08 05:30:00,1510119000
866,CAN,ICN,KE,2017-11-08 13:15:00,1510146900,2017-11-08 17:25:00,1510161900
4501,CAN,ICN,CZ,2017-11-08 13:15:00,1510146900,2017-11-08 17:25:00,1510161900
337,CAN,ICN,CZ,2017-11-08 09:25:00,1510133100,2017-11-08 13:50:00,1510149000
